SW56_0  1.0000 1.0000 0.7143 0.8587 0.1362 0.1088 1.0000 0.1429 1 0
SW56_1  0.0000 0.2000 0.0000 0.1088 0.1075 0.5721 0.5000 1.0000 0 1
SW56_2  0.8750 0.0000 0.0000 0.5721 0.9829 0.9394 0.5000 1.0000 0 1
SW56_3  1.0000 1.0000 1.0000 0.9394 0.8141 0.7749 0.0000 0.4000 0 1
SW56_4  1.0000 1.0000 0.8571 1.0000 0.9359 0.9123 0.5000 1.0000 0 1
SW56_5  1.0000 1.0000 0.7143 0.9123 0.1237 0.0998 1.0000 0.2500 1 0
SW56_6  0.0000 0.4000 0.0000 0.0998 0.5276 0.2442 0.7045 0.3636 0 1
SW56_7  0.0000 0.4000 0.0000 0.2442 0.7897 0.8281 0.0000 0.5000 0 1
SW56_8  0.0000 1.0000 0.7143 0.8281 0.1421 0.0267 1.0000 0.1667 1 0
SW57_0  1.0000 0.4000 0.0000 0.7844 0.8830 0.9703 0.5000 1.0000 0 1
SW57_1  1.0000 0.0000 0.0000 0.9703 0.9531 0.8402 0.0000 0.6000 0 1
SW57_2  0.0000 0.2000 0.0000 0.8402 0.8000 0.9130 0.5000 1.0000 0 1
SW57_3  1.0000 0.0000 0.0000 0.9130 0.8309 0.1225 1.0000 0.3333 0 1
SW57_4  0.0000 0.4000 0.0000 0.1225 0.6178 0.9424 0.0000 0.2000 0 1
SW57_5  1.0000 0.0000 0.0000 0.9424 0.9536 0.9310 0.0000 0.7143 0 1
SW57_6  1.0000 0.0000 0.0000 1.0000 0.9970 0.9362 0.5000 1.0000 0 1
SW57_7  1.0000 0.0000 0.0000 0.9362 0.9532 0.9057 0.5000 1.0000 0 1
SW57_8  1.0000 1.0000 0.7143 0.9057 0.6307 0.1458 1.0000 0.2857 1 0
SW57_9  0.0000 0.4000 0.0000 0.1458 0.6593 0.5728 0.3929 0.4286 0 1
SW57_10 0.3750 0.0000 0.0000 0.5728 0.9941 0.8329 0.0000 0.3333 0 1
SW57_11 0.5000 1.0000 0.7143 0.8329 0.6010 0.0435 1.0000 0.2500 1 0
SW58_0  1.0000 1.0000 1.0000 0.7445 0.0762 0.0447 0.5833 0.0000 1 0
SW58_1  0.0000 0.4000 0.0000 0.0447 0.0186 0.0254 0.5000 1.0000 0 1
SW58_2  1.0000 0.2000 0.0000 0.0254 0.4391 0.4087 0.5000 1.0000 0 1
SW58_3  1.0000 0.0000 0.0000 0.4087 0.9355 0.7385 0.5000 1.0000 0 1
SW58_4  0.8750 0.0000 0.0000 0.7385 0.8549 0.7026 0.0000 0.4286 0 1
SW58_5  0.0000 0.8000 0.2857 0.7026 0.7021 0.9917 0.5000 1.0000 0 1
SW58_6  1.0000 0.8125 1.0000 0.9917 0.8575 0.7367 0.5000 1.0000 0 1
SW58_7  1.0000 1.0000 1.0000 0.7367 0.0929 0.0399 1.0000 0.3333 1 0
SW58_8  0.0000 0.2000 0.0000 0.0399 0.0493 0.2496 0.5000 1.0000 0 1
SW58_9  1.0000 0.0000 0.0000 0.2496 0.6651 0.4622 0.5000 1.0000 0 1
SW58_10 1.0000 0.0000 0.0000 0.4622 0.0978 0.0232 0.5000 1.0000 0 1
SW58_11 1.0000 0.0000 0.0000 0.0232 0.4928 0.5664 0.4722 0.3333 0 1
SW58_12 0.2500 0.8000 0.2857 0.5664 0.7190 0.9729 0.5000 1.0000 0 1
SW58_13 1.0000 0.8750 1.0000 0.9729 0.8538 0.7753 0.5000 1.0000 0 1
SW58_14 1.0000 1.0000 1.0000 0.7753 0.0679 0.0938 0.2500 0.3333 1 0
SW59_0  1.0000 0.0000 0.0000 0.8720 0.9799 0.9196 0.0000 0.6000 0 1
SW59_1  1.0000 1.0000 0.5714 0.9196 0.8384 0.8706 0.5000 1.0000 0 1
SW59_2  1.0000 1.0000 1.0000 0.8706 0.1290 0.0666 1.0000 0.3333 1 0
SW59_3  0.0000 0.2000 0.0000 0.0666 0.0384 0.1931 0.5000 1.0000 0 1
SW59_4  1.0000 0.2000 0.0000 0.1931 0.6702 0.9171 0.5000 1.0000 0 1
SW59_5  1.0000 0.0000 0.0000 0.9171 0.8568 0.9679 0.5000 1.0000 0 1
SW59_6  1.0000 0.0000 0.0000 0.9679 0.9386 0.8753 0.5000 1.0000 0 1
SW59_7  1.0000 1.0000 1.0000 0.8753 0.1329 0.0747 1.0000 0.2000 1 0
SW59_8  0.0000 0.4000 0.0000 0.0747 0.8167 0.2312 0.5000 1.0000 0 1
SW59_9  0.5000 0.6000 0.1429 0.2312 0.0700 0.2339 0.5000 1.0000 0 1
SW59_10 1.0000 0.2000 0.0000 0.2339 0.7636 0.8923 0.5000 1.0000 0 1
SW59_11 1.0000 0.0000 0.0000 0.8923 0.8854 0.7627 0.0000 0.2500 0 1
SW59_12 0.8750 1.0000 1.0000 0.7627 0.1008 0.0329 1.0000 0.2500 1 0
SW60_0  0.0000 1.0000 1.0000 0.5972 0.1497 0.0872 1.0000 0.3333 1 0
SW60_1  0.0000 0.0000 0.0000 0.0872 0.0866 0.1212 0.5000 1.0000 0 1
SW60_2  1.0000 0.0000 0.0000 0.1212 0.6167 0.8401 0.5000 1.0000 0 1
SW60_3  1.0000 0.0000 0.0000 0.8401 0.9713 0.5721 0.0000 0.3750 0 1
SW60_4  0.0000 1.0000 1.0000 0.5721 0.1130 0.0286 1.0000 0.4000 1 0
SW60_5  0.0000 0.0000 0.0000 0.0286 0.1284 0.4614 0.5000 1.0000 0 1
SW60_6  1.0000 0.0000 0.0000 0.4614 0.9134 0.5367 0.0000 0.4286 0 1
SW60_7  0.0000 1.0000 1.0000 0.5367 0.1221 0.1340 1.0000 0.3333 1 0
SW61_0  1.0000 0.0000 0.0000 0.3836 0.1678 0.5211 0.5000 1.0000 0 1
SW61_1  1.0000 0.0000 0.0000 0.5211 0.2107 0.0773 0.5000 1.0000 0 1
SW61_2  1.0000 0.4000 0.0000 0.0773 0.6734 0.7128 0.0000 0.5000 0 1
SW61_3  0.0000 0.6875 1.0000 0.7128 0.2701 0.0339 1.0000 0.5556 1 0
SW61_4  0.0000 0.0000 0.0000 0.0339 0.1070 0.4289 0.8611 0.2222 0 1
SW61_5  0.0000 0.6250 1.0000 0.4289 0.3132 0.9294 0.5000 1.0000 0 1
SW61_6  1.0000 0.0000 0.0000 0.9294 0.9770 0.0996 1.0000 0.5833 0 1
SW61_7  0.0000 0.0000 0.0000 0.0996 0.7297 0.7546 0.5000 1.0000 0 1
SW61_8  1.0000 0.0000 0.0000 0.7546 0.9125 0.6472 0.0000 0.3333 0 1
SW61_9  0.0000 0.7500 1.0000 0.6472 0.3015 0.1250 0.9062 0.6875 1 0
SW62_0  0.0000 1.0000 0.7143 0.5980 0.3051 0.1329 1.0000 0.0000 1 0
SW62_1  0.0000 0.0000 0.0000 0.1329 0.9261 0.7582 0.5000 1.0000 0 1
SW62_2  0.8750 0.4000 0.0000 0.7582 0.1775 0.4673 0.4000 0.3000 0 1
SW62_3  0.0000 0.2000 0.0000 0.4673 0.9561 0.8818 0.0000 0.6667 0 1
SW62_4  0.7500 0.0000 0.0000 0.8818 0.9776 1.0000 0.5000 1.0000 0 1
SW62_5  0.3750 1.0000 0.7143 0.8188 0.3183 0.0931 1.0000 0.0000 1 0
SW62_6  0.0000 0.2000 0.0000 0.0931 0.0943 0.4943 0.8214 0.2857 0 1
SW62_7  0.0000 0.0000 0.0000 0.4943 0.8849 0.7785 0.0000 0.3333 0 1
SW62_8  0.0000 1.0000 0.7143 0.7785 0.5320 0.5852 0.5000 1.0000 1 0
SW62_9  1.0000 0.0000 0.0000 0.5852 0.8771 0.1679 1.0000 0.6250 0 1
SW63_0  0.5000 1.0000 1.0000 0.6725 0.3705 0.0945 1.0000 0.3333 1 0
SW63_1  0.0000 0.6000 0.1429 0.0945 0.0234 0.0472 0.5000 1.0000 0 1
SW63_2  1.0000 0.0000 0.0000 0.0472 0.1150 0.5817 0.1667 0.1667 0 1
SW63_3  0.0000 1.0000 1.0000 0.5817 0.2956 0.0528 0.4500 0.2000 1 0
SW63_4  0.0000 0.2000 0.0000 0.0528 0.0156 0.0544 0.5000 1.0000 0 1
