280
cheers 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.06 0.14 0.01 0.18 0.57 0.98 0.74 0.03 0.62 0.27 0.47 0.35 0.55 0.84 1.00 0.03 0.09 0.01 0.12 0.00 0.00 0.00 0.00 1 1 0 0 
cheers 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.04 0.07 0.00 0.18 0.54 1.00 0.54 0.02 0.48 0.25 0.61 0.34 0.49 0.66 0.67 0.02 0.05 0.05 0.12 0.00 0.00 0.00 0.00 1 1 0 0 
cheers 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.08 0.12 0.01 0.15 0.59 1.00 0.62 0.02 0.74 0.30 0.59 0.32 0.48 0.76 0.83 0.03 0.08 0.03 0.09 0.00 0.00 0.00 0.00 1 1 0 0 
cheers 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.07 0.23 0.01 0.14 0.64 1.00 0.48 0.02 0.44 0.32 0.40 0.37 0.49 0.70 0.71 0.01 0.08 0.02 0.06 0.00 0.00 0.00 0.00 1 1 0 0 
cheers 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02 0.16 0.00 0.18 0.54 1.00 0.51 0.01 0.31 0.24 0.50 0.33 0.48 0.60 0.69 0.02 0.04 0.03 0.03 0.00 0.00 0.00 0.00 1 1 0 0 
cheers 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02 0.18 0.00 0.27 0.76 1.00 0.79 0.01 0.41 0.20 0.91 0.48 0.68 0.84 0.87 0.01 0.02 0.00 0.20 0.00 0.00 0.00 0.00 1 1 0 0 
cheers 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.04 0.14 0.32 0.05 0.11 0.81 0.87 0.69 0.02 1.00 0.28 0.58 0.32 0.42 0.73 0.82 0.02 0.05 0.02 0.05 0.00 0.00 0.01 0.01 1 1 0 0 
cheers 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.04 0.12 0.52 0.04 0.16 0.77 0.82 0.62 0.02 0.41 0.30 0.81 0.45 0.61 0.80 1.00 0.02 0.03 0.03 0.04 0.00 0.00 0.00 0.00 1 1 0 0 
cheers 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.07 0.22 0.47 0.05 0.17 0.75 1.00 0.64 0.03 0.44 0.32 0.66 0.47 0.66 0.89 0.95 0.01 0.04 0.04 0.17 0.00 0.00 0.00 0.00 1 1 0 0 
cheers 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.07 0.38 0.03 0.19 0.88 1.00 0.65 0.02 0.34 0.35 0.85 0.45 0.65 0.81 0.80 0.01 0.04 0.01 0.03 0.00 0.00 0.00 0.00 1 1 0 0 
cheers 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.06 0.12 0.54 0.22 0.15 0.84 0.63 0.71 0.60 1.00 0.41 0.61 0.26 0.46 0.69 0.81 0.05 0.06 0.07 0.06 0.01 0.00 0.02 0.01 1 1 0 0 
cheers 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.01 0.11 0.36 0.70 0.48 0.28 0.92 0.78 0.62 0.42 0.85 0.33 0.85 0.46 0.60 1.00 0.77 0.00 0.05 0.03 0.05 0.00 0.00 0.02 0.01 1 1 0 0 
cheers 0.00 0.00 0.00 0.01 0.00 0.01 0.00 0.01 0.17 0.37 0.90 0.57 0.24 1.00 0.91 0.76 0.28 0.64 0.38 0.92 0.53 0.77 0.92 0.88 0.08 0.07 0.06 0.05 0.00 0.00 0.02 0.01 1 1 0 0 
cheers 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.01 0.15 0.40 0.75 0.44 0.25 1.00 0.94 0.73 0.31 0.70 0.45 0.85 0.56 0.76 0.95 0.89 0.06 0.13 0.03 0.10 0.00 0.00 0.02 0.01 1 1 0 0 
cheers 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.16 0.37 0.82 0.45 0.25 1.00 0.77 0.56 0.23 0.50 0.38 0.79 0.56 0.79 0.91 0.96 0.07 0.10 0.06 0.05 0.00 0.00 0.00 0.00 1 1 0 0 
cheers 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.11 0.31 0.69 0.34 0.24 0.99 0.89 0.68 0.20 0.46 0.33 0.78 0.56 0.80 0.86 1.00 0.11 0.09 0.04 0.07 0.00 0.00 0.00 0.00 1 1 0 0 
cheers 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.17 0.41 0.74 0.39 0.22 1.00 0.86 0.74 0.34 0.63 0.38 0.68 0.56 0.80 0.89 0.98 0.11 0.12 0.03 0.09 0.00 0.00 0.01 0.01 1 1 0 0 
cheers 0.00 0.00 0.00 0.01 0.00 0.01 0.00 0.01 0.07 0.20 0.62 0.29 0.21 0.81 0.71 0.42 0.21 0.44 0.35 0.51 0.41 0.62 0.78 1.00 0.06 0.11 0.05 0.13 0.00 0.00 0.02 0.02 1 1 0 0 
cheers 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.11 0.29 0.53 0.32 0.23 1.00 0.84 0.56 0.28 0.54 0.38 0.64 0.57 0.77 0.80 0.88 0.04 0.10 0.03 0.05 0.00 0.00 0.00 0.00 1 1 0 0 
cheers 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.01 0.07 0.18 0.50 0.33 0.26 1.00 0.97 0.51 0.19 0.46 0.45 0.65 0.54 0.83 0.81 0.95 0.13 0.07 0.07 0.09 0.00 0.00 0.02 0.02 1 1 0 0 
cheers 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.43 0.14 0.12 0.57 0.66 0.96 0.56 1.00 0.50 0.66 0.12 0.20 0.67 0.72 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 1 1 0 0 
cheers 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02 0.00 0.18 0.72 1.00 0.55 0.02 0.71 0.51 0.78 0.33 0.48 0.68 0.62 0.00 0.00 0.01 0.01 0.00 0.00 0.00 0.00 1 1 0 0 
cheers 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.04 0.00 0.16 0.60 1.00 0.46 0.00 0.39 0.45 0.64 0.27 0.48 0.54 0.83 0.00 0.00 0.00 0.02 0.00 0.00 0.00 0.00 1 1 0 0 
cheers 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.08 0.00 0.11 0.69 1.00 0.51 0.02 0.47 0.54 0.55 0.23 0.45 0.51 0.53 0.00 0.01 0.01 0.05 0.00 0.00 0.00 0.00 1 1 0 0 
